date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-08-31 06:35:55.122000-05:00;;;;;;;;4294.171;1008.182;572.933;;556.2729;285.7882;;0.0;MOD14040
2018-08-31 06:35:55.512000-05:00;;;;;;;;4294.28;1008.248;572.9592;;556.3054;285.7882;;0.0;MOD14040
2018-08-31 06:35:55.903000-05:00;;;;;;;;4294.389;1008.313;572.9855;;556.3379;285.874;;0.0;MOD14040
2018-08-31 06:35:56.294000-05:00;;;;;;;;4294.389;1008.313;572.9855;;556.3379;285.9158;;0.0;MOD14040
2018-08-31 06:35:56.684000-05:00;;;;;;;;4294.603;1008.442;573.0374;;556.4021;285.9587;;0.0;MOD14040
2018-08-31 06:35:57.075000-05:00;;;;;;;;4294.714;1008.509;573.0643;;556.4354;285.9587;;0.0;MOD14040
2018-08-31 06:35:57.466000-05:00;;;;;;;;4294.82;1008.573;573.0898;;556.467;286.0445;;0.0;MOD14040
2018-08-31 06:35:57.856000-05:00;;;;;;;;4294.82;1008.573;573.0898;;556.467;286.0896;;0.0;MOD14040
2018-08-31 06:35:58.262000-05:00;;;;;;;;4295.042;1008.707;573.1438;;556.5338;286.1325;;0.0;MOD14040
2018-08-31 06:35:58.653000-05:00;;;;;;;;4295.154;1008.775;573.1708;;556.5671;286.1765;;0.0;MOD14040
2018-08-31 06:35:59.059000-05:00;;;;;;;;4295.266;1008.842;573.1977;;556.6005;286.1765;;0.0;MOD14040
2018-08-31 06:35:59.450000-05:00;;;;;;;;4295.378;1008.909;573.2247;;556.6338;286.2645;;0.0;MOD14040
2018-08-31 06:35:59.856000-05:00;;;;;;;;4295.378;1008.909;573.2247;;556.6338;286.3085;;0.0;MOD14040
2018-08-31 06:36:00.247000-05:00;;;;;;;;4295.599;1009.042;573.278;;556.6996;286.3514;;0.0;MOD14040
2018-08-31 06:36:00.637000-05:00;;;;;;;;4295.711;1009.109;573.305;;556.7329;286.3954;;0.0;MOD14040
2018-08-31 06:36:01.044000-05:00;;;;;;;;4295.826;1009.179;573.3326;;556.7671;286.3954;;0.0;MOD14040
2018-08-31 06:36:01.450000-05:00;;;;;;;;4295.935;1009.244;573.359;;556.7996;286.4834;;0.0;MOD14040
2018-08-31 06:36:01.841000-05:00;;;;;;;;4295.935;1009.244;573.359;;556.7996;286.5274;;0.0;MOD14040
2018-08-31 06:36:02.231000-05:00;;;;;;;;4296.156;1009.377;573.4124;;556.8654;286.5703;;0.0;MOD14040
2018-08-31 06:36:02.637000-05:00;;;;;;;;4296.271;1009.446;573.4399;;556.8995;286.5703;;0.0;MOD14040
2018-08-31 06:36:03.044000-05:00;;;;;;;;4296.383;1009.514;573.467;;556.9329;286.6594;;0.0;MOD14040
2018-08-31 06:36:03.434000-05:00;;;;;;;;4296.493;1009.58;573.4933;;556.9655;286.7023;;0.0;MOD14040
2018-08-31 06:36:03.825000-05:00;;;;;;;;4296.493;1009.58;573.4933;;556.9655;286.7452;;0.0;MOD14040
2018-08-31 06:36:04.216000-05:00;;;;;;;;4296.714;1009.714;573.5464;;557.0313;286.7892;;0.0;MOD14040
2018-08-31 06:36:04.622000-05:00;;;;;;;;4296.823;1009.78;573.5725;;557.0637;286.7892;;0.0;MOD14040
2018-08-31 06:36:05.012000-05:00;;;;;;;;4296.936;1009.848;573.5994;;557.097;286.8761;;0.0;MOD14040
2018-08-31 06:36:05.419000-05:00;;;;;;;;4296.936;1009.848;573.5994;;557.097;286.9201;;0.0;MOD14040
2018-08-31 06:36:05.794000-05:00;;;;;;;;4297.157;1009.981;573.6523;;557.163;286.963;;0.0;MOD14040
2018-08-31 06:36:06.184000-05:00;;;;;;;;4297.267;1010.046;573.6784;;557.1954;287.0059;;0.0;MOD14040
2018-08-31 06:36:06.575000-05:00;;;;;;;;4297.377;1010.112;573.7045;;557.2279;287.0059;;0.0;MOD14040
2018-08-31 06:36:06.981000-05:00;;;;;;;;4297.489;1010.179;573.7313;;557.2612;287.0928;;0.0;MOD14040
2018-08-31 06:36:07.387000-05:00;;;;;;;;4297.489;1010.179;573.7313;;557.2612;287.1379;;0.0;MOD14040
2018-08-31 06:36:07.794000-05:00;;;;;;;;4297.717;1010.314;573.7856;;557.3287;287.1819;;0.0;MOD14040
2018-08-31 06:36:08.184000-05:00;;;;;;;;4297.83;1010.381;573.8124;;557.3621;287.2259;;0.0;MOD14040
2018-08-31 06:36:08.591000-05:00;;;;;;;;4297.941;1010.448;573.8392;;557.3954;287.2259;;0.0;MOD14040
2018-08-31 06:36:08.981000-05:00;;;;;;;;4298.051;1010.513;573.8653;;557.4279;287.3128;;0.0;MOD14040
2018-08-31 06:36:09.388000-05:00;;;;;;;;4298.051;1010.513;573.8653;;557.4279;287.3568;;0.0;MOD14040
2018-08-31 06:36:09.762000-05:00;;;;;;;;4298.272;1010.643;573.918;;557.4938;287.3997;;0.0;MOD14040
2018-08-31 06:36:10.169000-05:00;;;;;;;;4298.381;1010.708;573.944;;557.5262;287.3997;;0.0;MOD14040
2018-08-31 06:36:10.559000-05:00;;;;;;;;4298.49;1010.772;573.97;;557.5587;287.4855;;0.0;MOD14040
2018-08-31 06:36:10.950000-05:00;;;;;;;;4298.49;1010.772;573.97;;557.5587;287.5295;;0.0;MOD14040
2018-08-31 06:36:11.356000-05:00;;;;;;;;4298.711;1010.901;574.0226;;557.6246;287.5724;;0.0;MOD14040
2018-08-31 06:36:11.731000-05:00;;;;;;;;4298.823;1010.966;574.0493;;557.658;287.5724;;0.0;MOD14040
2018-08-31 06:36:12.138000-05:00;;;;;;;;4298.936;1011.031;574.0759;;557.6913;287.6604;;0.0;MOD14040
