date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-09-18 05:48:21.027000-05:00;;;;;;;;;;;;;318.9071;;0.0;MOD14337
2018-09-18 05:48:21.417000-05:00;;;;;;;;4034.581;1057.74;629.0061;;620.1425;318.9071;;0.0;MOD14337
2018-09-18 05:48:21.792000-05:00;;;;;;;;4034.688;1057.808;629.0319;;620.175;318.9929;;0.0;MOD14337
2018-09-18 05:48:22.199000-05:00;;;;;;;;4034.796;1057.876;629.0577;;620.2075;319.0358;;0.0;MOD14337
2018-09-18 05:48:22.589000-05:00;;;;;;;;4034.796;1057.876;629.0577;;620.2075;319.0798;;0.0;MOD14337
2018-09-18 05:48:22.964000-05:00;;;;;;;;4035.01;1058.013;629.1095;;620.2725;319.0798;;0.0;MOD14337
2018-09-18 05:48:23.370000-05:00;;;;;;;;4035.12;1058.083;629.1361;;620.3058;319.1656;;0.0;MOD14337
2018-09-18 05:48:23.761000-05:00;;;;;;;;4035.23;1058.152;629.1627;;620.3392;319.2097;;0.0;MOD14337
2018-09-18 05:48:24.152000-05:00;;;;;;;;4035.23;1058.152;629.1627;;620.3392;319.2525;;0.0;MOD14337
2018-09-18 05:48:24.558000-05:00;;;;;;;;4035.447;1058.287;629.2152;;620.405;319.2965;;0.0;MOD14337
2018-09-18 05:48:24.964000-05:00;;;;;;;;4035.557;1058.355;629.2418;;620.4384;319.2965;;0.0;MOD14337
2018-09-18 05:48:25.355000-05:00;;;;;;;;4035.665;1058.42;629.2678;;620.4708;319.3834;;0.0;MOD14337
2018-09-18 05:48:25.730000-05:00;;;;;;;;4035.772;1058.485;629.2937;;620.5033;319.4263;;0.0;MOD14337
2018-09-18 05:48:26.136000-05:00;;;;;;;;4035.772;1058.485;629.2937;;620.5033;319.4703;;0.0;MOD14337
