date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-09-25 01:41:25.264000-05:00;;;;;;;;4325.881;1167.015;673.7123;;555.3345;275.8003;;0.0;MOD14468
2018-09-25 01:41:25.654000-05:00;;;;;;;;4325.993;1167.081;673.7383;;555.367;275.8432;;0.0;MOD14468
2018-09-25 01:41:26.045000-05:00;;;;;;;;4326.104;1167.146;673.7643;;555.3995;275.8861;;0.0;MOD14468
2018-09-25 01:41:26.436000-05:00;;;;;;;;4326.222;1167.215;673.7917;;555.4337;275.9312;;0.0;MOD14468
2018-09-25 01:41:27.233000-05:00;;;;;;;;4326.446;1167.344;673.8436;;555.4987;276.017;;0.0;MOD14468
2018-09-25 01:41:27.623000-05:00;;;;;;;;4326.56;1167.411;673.8702;;555.532;276.061;;0.0;MOD14468
2018-09-25 01:41:28.014000-05:00;;;;;;;;4326.672;1167.475;673.8962;;555.5645;276.1039;;0.0;MOD14468
2018-09-25 01:41:28.795000-05:00;;;;;;;;4326.896;1167.604;673.948;;555.6295;276.1897;;0.0;MOD14468
2018-09-25 01:41:29.186000-05:00;;;;;;;;4327.01;1167.67;673.9745;;555.6628;276.2337;;0.0;MOD14468
2018-09-25 01:41:29.576000-05:00;;;;;;;;4327.123;1167.735;674.0004;;555.6953;276.2766;;0.0;MOD14468
2018-09-25 01:41:29.983000-05:00;;;;;;;;4327.234;1167.799;674.0263;;555.7278;276.3195;;0.0;MOD14468
2018-09-25 01:41:30.779000-05:00;;;;;;;;4327.462;1167.931;674.0795;;555.7945;276.4075;;0.0;MOD14468
2018-09-25 01:41:31.170000-05:00;;;;;;;;4327.576;1167.997;674.106;;555.8279;276.4515;;0.0;MOD14468
2018-09-25 01:41:31.561000-05:00;;;;;;;;4327.687;1168.062;674.1319;;555.8604;276.4944;;0.0;MOD14468
2018-09-25 01:41:31.967000-05:00;;;;;;;;4327.687;1168.062;674.1578;;555.8928;276.5373;;0.0;MOD14468
2018-09-25 01:41:32.358000-05:00;;;;;;;;4327.911;1168.193;674.1578;;555.8928;276.5373;;0.0;MOD14468
2018-09-25 01:41:32.748000-05:00;;;;;;;;4328.022;1168.258;674.2104;;555.9587;276.6242;;0.0;MOD14468
2018-09-25 01:41:33.139000-05:00;;;;;;;;4328.134;1168.323;674.2363;;555.9912;276.6671;;0.0;MOD14468
2018-09-25 01:41:33.529000-05:00;;;;;;;;4328.246;1168.388;674.2622;;556.0237;276.71;;0.0;MOD14468
2018-09-25 01:41:34.311000-05:00;;;;;;;;4328.475;1168.521;674.3148;;556.0895;276.7969;;0.0;MOD14468
2018-09-25 01:41:34.717000-05:00;;;;;;;;4328.59;1168.588;674.3414;;556.1229;276.8409;;0.0;MOD14468
2018-09-25 01:41:35.108000-05:00;;;;;;;;4328.703;1168.653;674.3674;;556.1553;276.8838;;0.0;MOD14468
2018-09-25 01:41:35.498000-05:00;;;;;;;;4328.818;1168.721;674.3941;;556.1887;276.9278;;0.0;MOD14468
2018-09-25 01:41:36.326000-05:00;;;;;;;;4329.051;1168.859;674.4482;;556.2562;277.0169;;0.0;MOD14468
2018-09-25 01:41:36.717000-05:00;;;;;;;;4329.167;1168.927;674.4749;;556.2896;277.0609;;0.0;MOD14468
2018-09-25 01:41:37.108000-05:00;;;;;;;;4329.281;1168.996;674.5016;;556.3229;277.1049;;0.0;MOD14468
2018-09-25 01:41:37.514000-05:00;;;;;;;;4329.395;1169.064;674.5284;;556.3562;277.1489;;0.0;MOD14468
2018-09-25 01:41:38.311000-05:00;;;;;;;;4329.624;1169.2;674.5812;;556.422;277.2358;;0.0;MOD14468
2018-09-25 01:41:38.701000-05:00;;;;;;;;4329.737;1169.267;674.6072;;556.4545;277.2787;;0.0;MOD14468
2018-09-25 01:41:39.092000-05:00;;;;;;;;4329.853;1169.335;674.6339;;556.4879;277.3227;;0.0;MOD14468
2018-09-25 01:41:39.498000-05:00;;;;;;;;4329.971;1169.405;674.6614;;556.522;277.3678;;0.0;MOD14468
