date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-03-01 18:08:40.744000-06:00;;;;;;;;4579.678;972.0648;668.9793;;;;;0.0;MOD10765
2018-03-01 18:08:41.135000-06:00;;;;;;;;4579.76;972.1138;669.0441;;;;;0.0;MOD10765
2018-03-01 18:08:41.525000-06:00;;;;;;;;4579.842;972.1627;669.1089;;;;;0.0;MOD10765
2018-03-01 18:08:42.306000-06:00;;;;;;;;4580.008;972.2616;669.2402;;;;;0.0;MOD10765
2018-03-01 18:08:42.697000-06:00;;;;;;;;4580.088;972.309;669.3033;;;;;0.0;MOD10765
2018-03-01 18:08:43.088000-06:00;;;;;;0.0;;4580.167;972.3561;669.3664;;;;;0.0;MOD10765
2018-03-01 18:08:43.494000-06:00;;;;;;0.0;;4580.256;972.408;669.4362;;;;;0.0;MOD10765
2018-03-01 18:08:43.666000-06:00;;;0.0;;;0.0;;4580.256;972.408;669.4362;;;;;0.0;MOD10765
2018-03-01 18:08:44.260000-06:00;;;0.0;;;0.0;;4580.419;972.5046;669.5656;;;;;0.0;MOD10765
2018-03-01 18:08:44.666000-06:00;;;0.0;;;0.0;;4580.501;972.5533;669.6303;;;;;0.0;MOD10765
2018-03-01 18:08:45.056000-06:00;;;0.0;;;0.0;;4580.586;972.6034;669.6967;;;;;0.0;MOD10765
2018-03-01 18:08:45.463000-06:00;;;0.0;;;0.0;;4580.671;972.6536;669.7631;;;;;0.0;MOD10765
2018-03-01 18:08:46.228000-06:00;;;0.0;;;0.0;;4580.834;972.7502;669.8904;;;;;0.0;MOD10765
2018-03-01 18:08:46.635000-06:00;;;0.0;;;0.0;;4580.91;972.7966;669.9519;;;;;0.0;MOD10765
2018-03-01 18:08:47.025000-06:00;;;0.0;;;0.0;;4580.972;972.8345;670.0015;;;;;0.0;MOD10765
2018-03-01 18:08:47.416000-06:00;;;0.0;;;0.0;;4581.022;972.8661;670.042;;;;;0.0;MOD10765
2018-03-01 18:08:48.197000-06:00;;;0.0;;;0.0;;4581.101;972.9143;670.1039;;;;;0.0;MOD10765
2018-03-01 18:08:48.603000-06:00;;;0.0;;;0.0;;4581.131;972.9325;670.1274;;;;;0.0;MOD10765
2018-03-01 18:08:48.994000-06:00;;;0.0;;;0.0;;4581.154;972.9469;670.1459;;;;;0.0;MOD10765
2018-03-01 18:08:49.806000-06:00;;;0.0;;;0.0;;4581.192;972.9703;670.1758;;;;;0.0;MOD10765
2018-03-01 18:08:50.181000-06:00;;;0.0;;;0.0;;4581.205;972.9784;670.1862;;;;;0.0;MOD10765
2018-03-01 18:08:50.588000-06:00;;;0.0;;;0.0;;4581.216;972.9854;670.1953;;;;;0.0;MOD10765
2018-03-01 18:08:50.963000-06:00;;;0.0;;;0.0;;4581.225;972.9909;670.2025;;;;;0.0;MOD10765
2018-03-01 18:08:51.760000-06:00;;;0.0;;;0.0;;4581.238;972.9995;670.2135;;;;;0.0;MOD10765
2018-03-01 18:08:52.150000-06:00;;;0.0;;;0.0;;4581.242;973.0027;670.2177;;;;;0.0;MOD10765
2018-03-01 18:08:52.541000-06:00;;;0.0;;;0.0;;4581.246;973.0054;670.221;;;;;0.0;MOD10765
2018-03-01 18:08:52.932000-06:00;;;0.0;;;0.0;;4581.249;973.0076;670.2239;;;;;0.0;MOD10765
2018-03-01 18:08:53.713000-06:00;;;0.0;;;0.0;;4581.253;973.011;670.2281;;;;;0.0;MOD10765
2018-03-01 18:08:54.119000-06:00;;;0.0;;;0.0;;4581.255;973.0122;670.2297;;;;;0.0;MOD10765
2018-03-01 18:08:54.525000-06:00;;;0.0;;;0.0;;4581.255;973.0132;670.2309;;;;;0.0;MOD10765
2018-03-01 18:08:54.931000-06:00;;;0.0;;;0.0;;4581.255;973.014;670.2319;;;;;0.0;MOD10765
2018-03-01 18:08:55.713000-06:00;;;0.0;;;0.0;;4581.255;973.0152;670.2335;;;;;0.0;MOD10765
2018-03-01 18:08:56.119000-06:00;;;0.0;;;0.0;;4581.255;973.0156;670.2341;;;;;0.0;MOD10765
2018-03-01 18:08:56.525000-06:00;;;0.0;;;0.0;;4581.255;973.016;670.2346;;;;;0.0;MOD10765
2018-03-01 18:08:57.306000-06:00;;;0.0;;;0.0;;4581.255;973.0165;670.2354;;;;;0.0;MOD10765
2018-03-01 18:08:57.713000-06:00;;;0.0;;;0.0;;4581.255;973.0168;670.2355;;;;;0.0;MOD10765
2018-03-01 18:08:58.103000-06:00;;;0.0;;;0.0;;4581.255;973.017;670.2357;;;;;0.0;MOD10765
2018-03-01 18:08:58.494000-06:00;;;0.0;;;0.0;;4581.255;973.017;670.2359;;;;;0.0;MOD10765
2018-03-01 18:09:00.072000-06:00;;;0.0;;;0.0;;4581.255;973.017;670.2359;;;;;0.0;MOD10765
2018-03-01 18:09:05.197000-06:00;;;0.0;;;0.0;;4581.255;973.017;670.236;;;;;0.0;MOD10765
2018-03-01 18:09:15.432000-06:00;;;0.0;;;0.0;;0.0;0.0;0.0;;0.0;0.0;;0.0;MOD10765
