date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-08-03 22:10:17.057000-05:00;;;;;;;;;956.4482;582.5311;;579.0468;293.6862;;0.0;MOD13521
2018-08-03 22:10:17.447000-05:00;;;;;;;;4303.208;956.5178;582.5585;;579.0809;293.7313;;0.0;MOD13521
2018-08-03 22:10:17.838000-05:00;;;;;;;;4303.313;956.5178;582.5585;;579.0809;293.7313;;0.0;MOD13521
2018-08-03 22:10:18.244000-05:00;;;;;;;;4303.422;956.6525;582.6111;;579.1467;293.8182;;0.0;MOD13521
2018-08-03 22:10:18.635000-05:00;;;;;;;;4303.528;956.7193;582.6371;;579.1792;293.8611;;0.0;MOD13521
2018-08-03 22:10:19.025000-05:00;;;;;;;;4303.528;956.7863;582.6632;;579.2117;293.904;;0.0;MOD13521
2018-08-03 22:10:19.416000-05:00;;;;;;;;4303.74;956.8533;582.6891;;579.2443;293.9469;;0.0;MOD13521
2018-08-03 22:10:19.807000-05:00;;;;;;;;4303.849;956.8533;582.6891;;579.2443;293.9469;;0.0;MOD13521
2018-08-03 22:10:20.213000-05:00;;;;;;;;4303.958;956.9911;582.7426;;579.3109;294.0349;;0.0;MOD13521
2018-08-03 22:10:20.619000-05:00;;;;;;;;4303.958;957.06;582.7692;;579.3442;294.0789;;0.0;MOD13521
2018-08-03 22:10:21.010000-05:00;;;;;;;;4304.174;957.1273;582.7952;;579.3767;294.1218;;0.0;MOD13521
2018-08-03 22:10:21.416000-05:00;;;;;;;;4304.286;957.1981;582.8225;;579.4109;294.1669;;0.0;MOD13521
2018-08-03 22:10:21.791000-05:00;;;;;;;;4304.393;957.1981;582.8225;;579.4109;294.1669;;0.0;MOD13521
2018-08-03 22:10:22.213000-05:00;;;;;;;;4304.502;957.3347;582.8752;;579.4767;294.2538;;0.0;MOD13521
2018-08-03 22:10:22.604000-05:00;;;;;;;;4304.502;957.4039;582.902;;579.5101;294.2978;;0.0;MOD13521
2018-08-03 22:10:22.994000-05:00;;;;;;;;4304.719;957.4714;582.9281;;579.5426;294.3407;;0.0;MOD13521
2018-08-03 22:10:23.400000-05:00;;;;;;;;4304.83;957.4714;582.9281;;579.5426;294.3407;;0.0;MOD13521
2018-08-03 22:10:23.775000-05:00;;;;;;;;4304.934;957.6064;582.9802;;579.6075;294.4265;;0.0;MOD13521
2018-08-03 22:10:24.166000-05:00;;;;;;;;4305.044;957.6755;583.007;;579.6409;294.4705;;0.0;MOD13521
2018-08-03 22:10:24.557000-05:00;;;;;;;;4305.044;957.7408;583.0323;;579.6726;294.5123;;0.0;MOD13521
2018-08-03 22:10:24.947000-05:00;;;;;;;;4305.258;957.8096;583.0591;;579.7059;294.5563;;0.0;MOD13521
2018-08-03 22:10:25.354000-05:00;;;;;;;;4305.368;957.8096;583.0591;;579.7059;294.5563;;0.0;MOD13521
2018-08-03 22:10:25.744000-05:00;;;;;;;;4305.476;957.9442;583.112;;579.7717;294.6432;;0.0;MOD13521
2018-08-03 22:10:26.135000-05:00;;;;;;;;4305.476;958.012;583.1387;;579.8051;294.6872;;0.0;MOD13521
2018-08-03 22:10:26.525000-05:00;;;;;;;;4305.69;958.0763;583.1642;;579.8367;294.729;;0.0;MOD13521
2018-08-03 22:10:26.916000-05:00;;;;;;;;4305.797;958.1422;583.1903;;579.8693;294.7719;;0.0;MOD13521
2018-08-03 22:10:27.307000-05:00;;;;;;;;4305.907;958.1422;583.1903;;579.8693;294.7719;;0.0;MOD13521
2018-08-03 22:10:27.713000-05:00;;;;;;;;4306.015;958.277;583.244;;579.9359;294.8599;;0.0;MOD13521
2018-08-03 22:10:28.104000-05:00;;;;;;;;4306.015;958.3429;583.2701;;579.9684;294.9028;;0.0;MOD13521
2018-08-03 22:10:28.494000-05:00;;;;;;;;4306.232;958.4088;583.2963;;580.0009;294.9457;;0.0;MOD13521
2018-08-03 22:10:28.885000-05:00;;;;;;;;4306.339;958.4088;583.2963;;580.0009;294.9457;;0.0;MOD13521
2018-08-03 22:10:29.275000-05:00;;;;;;;;4306.449;958.5417;583.3494;;580.0668;295.0326;;0.0;MOD13521
2018-08-03 22:10:29.682000-05:00;;;;;;;;4306.449;958.6088;583.3762;;580.1001;295.0766;;0.0;MOD13521
2018-08-03 22:10:30.072000-05:00;;;;;;;;4306.667;958.6738;583.4024;;580.1326;295.1195;;0.0;MOD13521
2018-08-03 22:10:30.463000-05:00;;;;;;;;4306.773;958.7386;583.4286;;580.165;295.1624;;0.0;MOD13521
2018-08-03 22:10:30.869000-05:00;;;;;;;;4306.887;958.7386;583.4286;;580.165;295.1624;;0.0;MOD13521
2018-08-03 22:10:31.260000-05:00;;;;;;;;4306.994;958.8701;583.4823;;580.2317;295.2504;;0.0;MOD13521
2018-08-03 22:10:31.666000-05:00;;;;;;;;4306.994;958.9352;583.5092;;580.2651;295.2944;;0.0;MOD13521
2018-08-03 22:10:32.072000-05:00;;;;;;;;4307.214;959.0;583.5361;;580.2984;295.3384;;0.0;MOD13521
2018-08-03 22:10:32.463000-05:00;;;;;;;;4307.324;959.0;583.5361;;580.2984;295.3384;;0.0;MOD13521
2018-08-03 22:10:32.869000-05:00;;;;;;;;4307.434;959.1283;583.5899;;580.3651;295.4264;;0.0;MOD13521
2018-08-03 22:10:33.260000-05:00;;;;;;;;4307.434;959.1921;583.6168;;580.3984;295.4704;;0.0;MOD13521
2018-08-03 22:10:33.666000-05:00;;;;;;;;4307.654;959.2558;583.6439;;580.4318;295.5144;;0.0;MOD13521
2018-08-03 22:10:34.057000-05:00;;;;;;;;4307.761;959.3179;583.6702;;580.4642;295.5573;;0.0;MOD13521
2018-08-03 22:10:34.447000-05:00;;;;;;;;4307.872;959.3179;583.6702;;580.4642;295.5573;;0.0;MOD13521
2018-08-03 22:10:34.854000-05:00;;;;;;;;4307.982;959.446;583.7242;;580.5309;295.6453;;0.0;MOD13521
2018-08-03 22:10:35.244000-05:00;;;;;;;;4307.982;959.5084;583.7505;;580.5634;295.6882;;0.0;MOD13521
2018-08-03 22:10:35.651000-05:00;;;;;;;;4308.201;959.5726;583.7775;;580.5967;295.7322;;0.0;MOD13521
2018-08-03 22:10:36.057000-05:00;;;;;;;;4308.312;959.6368;583.8046;;580.6301;295.7762;;0.0;MOD13521
2018-08-03 22:10:36.447000-05:00;;;;;;;;4308.425;959.6368;583.8046;;580.6301;295.7762;;0.0;MOD13521
2018-08-03 22:10:36.854000-05:00;;;;;;;;4308.425;959.7654;583.8586;;580.6968;295.8642;;0.0;MOD13521
2018-08-03 22:10:37.244000-05:00;;;;;;;;4308.642;959.8282;583.8849;;580.7292;295.9071;;0.0;MOD13521
2018-08-03 22:10:37.619000-05:00;;;;;;;;4308.748;959.8893;583.9106;;580.7609;295.9489;;0.0;MOD13521
2018-08-03 22:10:38.010000-05:00;;;;;;;;4308.859;959.8893;583.9106;;580.7609;295.9489;;0.0;MOD13521
2018-08-03 22:10:38.400000-05:00;;;;;;;;4308.968;960.0168;583.9642;;580.8267;296.0358;;0.0;MOD13521
