date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-09-15 22:25:28.365000-05:00;;;;;;;;4270.565;1091.69;625.1267;;557.9645;;;0.0;MOD14291
2018-09-15 22:25:28.756000-05:00;;;;;;;;4270.676;1091.754;625.1543;;557.9971;280.994;;0.0;MOD14291
2018-09-15 22:25:29.162000-05:00;;;;;;;;4270.786;1091.818;625.1818;;557.9971;281.0369;;0.0;MOD14291
2018-09-15 22:25:29.553000-05:00;;;;;;;;4270.786;1091.818;625.1818;;558.0629;281.0809;;0.0;MOD14291
2018-09-15 22:25:29.943000-05:00;;;;;;;;4271.008;1091.946;625.2372;;558.0953;281.0809;;0.0;MOD14291
2018-09-15 22:25:30.350000-05:00;;;;;;;;4271.124;1092.012;625.2659;;558.1295;281.1689;;0.0;MOD14291
2018-09-15 22:25:30.725000-05:00;;;;;;;;4271.229;1092.073;625.2925;;558.1295;281.2107;;0.0;MOD14291
2018-09-15 22:25:31.131000-05:00;;;;;;;;4271.229;1092.073;625.2925;;558.1937;281.2536;;0.0;MOD14291
2018-09-15 22:25:31.522000-05:00;;;;;;;;4271.451;1092.199;625.3471;;558.2271;281.2536;;0.0;MOD14291
2018-09-15 22:25:31.912000-05:00;;;;;;;;4271.56;1092.262;625.3739;;558.2595;281.3405;;0.0;MOD14291
2018-09-15 22:25:32.303000-05:00;;;;;;;;4271.667;1092.322;625.3998;;558.2912;281.3823;;0.0;MOD14291
2018-09-15 22:25:32.709000-05:00;;;;;;;;4271.782;1092.387;625.4277;;558.2912;281.4274;;0.0;MOD14291
2018-09-15 22:25:33.115000-05:00;;;;;;;;4271.782;1092.387;625.4277;;558.3587;281.4714;;0.0;MOD14291
2018-09-15 22:25:33.522000-05:00;;;;;;;;4272.008;1092.516;625.4824;;558.3929;281.5165;;0.0;MOD14291
2018-09-15 22:25:33.912000-05:00;;;;;;;;4272.12;1092.579;625.5092;;558.4262;281.5165;;0.0;MOD14291
2018-09-15 22:25:34.319000-05:00;;;;;;;;4272.232;1092.643;625.5359;;558.4595;281.6045;;0.0;MOD14291
2018-09-15 22:25:34.709000-05:00;;;;;;;;4272.342;1092.706;625.5621;;558.4595;281.6474;;0.0;MOD14291
2018-09-15 22:25:35.115000-05:00;;;;;;;;4272.342;1092.706;625.5621;;558.5254;281.6914;;0.0;MOD14291
2018-09-15 22:25:35.506000-05:00;;;;;;;;4272.567;1092.835;625.6154;;558.5587;281.7354;;0.0;MOD14291
2018-09-15 22:25:35.912000-05:00;;;;;;;;4272.68;1092.901;625.642;;558.592;281.7354;;0.0;MOD14291
2018-09-15 22:25:36.319000-05:00;;;;;;;;4272.792;1092.967;625.6685;;558.6254;281.8234;;0.0;MOD14291
2018-09-15 22:25:36.709000-05:00;;;;;;;;4272.909;1093.035;625.6957;;558.6254;281.8685;;0.0;MOD14291
2018-09-15 22:25:37.115000-05:00;;;;;;;;4272.909;1093.035;625.6957;;558.6929;281.9125;;0.0;MOD14291
2018-09-15 22:25:37.506000-05:00;;;;;;;;4273.13;1093.165;625.7472;;558.7245;281.9125;;0.0;MOD14291
2018-09-15 22:25:37.897000-05:00;;;;;;;;4273.245;1093.232;625.7736;;558.7579;281.9983;;0.0;MOD14291
2018-09-15 22:25:38.287000-05:00;;;;;;;;4273.358;1093.299;625.7999;;558.7912;282.0423;;0.0;MOD14291
2018-09-15 22:25:38.709000-05:00;;;;;;;;4273.471;1093.367;625.8263;;558.7912;282.0863;;0.0;MOD14291
2018-09-15 22:25:39.100000-05:00;;;;;;;;4273.471;1093.367;625.8263;;558.8578;282.1303;;0.0;MOD14291
2018-09-15 22:25:39.490000-05:00;;;;;;;;4273.693;1093.5;625.8784;;558.8904;282.1303;;0.0;MOD14291
2018-09-15 22:25:39.881000-05:00;;;;;;;;4273.806;1093.568;625.9048;;558.9237;282.2172;;0.0;MOD14291
2018-09-15 22:25:40.287000-05:00;;;;;;;;4273.921;1093.637;625.9319;;558.9579;282.2623;;0.0;MOD14291
2018-09-15 22:25:40.694000-05:00;;;;;;;;4274.031;1093.703;625.9578;;558.9579;282.3052;;0.0;MOD14291
2018-09-15 22:25:41.084000-05:00;;;;;;;;4274.031;1093.703;625.9578;;559.0228;282.3481;;0.0;MOD14291
2018-09-15 22:25:41.475000-05:00;;;;;;;;4274.251;1093.836;626.0093;;559.0554;282.3481;;0.0;MOD14291
2018-09-15 22:25:41.881000-05:00;;;;;;;;4274.367;1093.906;626.0364;;559.0895;282.4361;;0.0;MOD14291
2018-09-15 22:25:42.287000-05:00;;;;;;;;4274.481;1093.976;626.0634;;559.0895;282.4812;;0.0;MOD14291
2018-09-15 22:25:42.678000-05:00;;;;;;;;4274.591;1094.044;626.0892;;559.1562;282.5241;;0.0;MOD14291
2018-09-15 22:25:43.084000-05:00;;;;;;;;4274.591;1094.044;626.0892;;559.1912;282.5703;;0.0;MOD14291
2018-09-15 22:25:43.491000-05:00;;;;;;;;4274.818;1094.184;626.1428;;559.2237;282.5703;;0.0;MOD14291
2018-09-15 22:25:43.881000-05:00;;;;;;;;4274.93;1094.253;626.1692;;559.257;282.6572;;0.0;MOD14291
2018-09-15 22:25:44.272000-05:00;;;;;;;;4275.039;1094.321;626.1951;;559.257;282.7001;;0.0;MOD14291
2018-09-15 22:25:44.662000-05:00;;;;;;;;4275.039;1094.321;626.1951;;559.322;282.743;;0.0;MOD14291
2018-09-15 22:25:45.084000-05:00;;;;;;;;4275.262;1094.458;626.248;;559.3562;282.7881;;0.0;MOD14291
2018-09-15 22:25:45.475000-05:00;;;;;;;;4275.373;1094.526;626.2745;;559.3895;282.7881;;0.0;MOD14291
2018-09-15 22:25:45.881000-05:00;;;;;;;;4275.484;1094.594;626.3011;;559.4229;282.8761;;0.0;MOD14291
2018-09-15 22:25:46.272000-05:00;;;;;;;;4275.596;1094.662;626.3276;;559.4229;282.9201;;0.0;MOD14291
2018-09-15 22:25:46.678000-05:00;;;;;;;;4275.596;1094.662;626.3276;;559.4904;282.9652;;0.0;MOD14291
2018-09-15 22:25:47.084000-05:00;;;;;;;;4275.821;1094.798;626.3814;;559.5237;282.9652;;0.0;MOD14291
2018-09-15 22:25:47.475000-05:00;;;;;;;;4275.933;1094.865;626.408;;559.557;283.0532;;0.0;MOD14291
2018-09-15 22:25:47.881000-05:00;;;;;;;;4276.044;1094.932;626.4346;;559.5903;283.0972;;0.0;MOD14291
2018-09-15 22:25:48.287000-05:00;;;;;;;;4276.155;1094.998;626.4612;;559.5903;283.1412;;0.0;MOD14291
2018-09-15 22:25:48.678000-05:00;;;;;;;;4276.155;1094.998;626.4612;;559.6562;283.1841;;0.0;MOD14291
