date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-09-15 11:53:14.108000-05:00;;;;;;;;4206.763;1040.325;618.156;;524.0398;267.2466;;0.0;MOD14281
2018-09-15 11:53:14.983000-05:00;;;;;;;;4206.98;1040.457;618.209;;524.1064;267.3346;;0.0;MOD14281
2018-09-15 11:53:15.311000-05:00;;;;;;;;4207.089;1040.524;618.2356;;524.1398;267.3785;;0.0;MOD14281
2018-09-15 11:53:15.702000-05:00;;;;;;;;4207.195;1040.589;618.2615;;524.1722;267.4214;;0.0;MOD14281
2018-09-15 11:53:16.546000-05:00;;;;;;;;4207.403;1040.716;618.3126;;524.2365;267.5062;;0.0;MOD14281
2018-09-15 11:53:16.874000-05:00;;;;;;;;4207.511;1040.783;618.3391;;524.2698;267.5502;;0.0;MOD14281
2018-09-15 11:53:17.249000-05:00;;;;;;;;4207.614;1040.846;618.3643;;524.3015;267.592;;0.0;MOD14281
2018-09-15 11:53:17.640000-05:00;;;;;;;;4207.719;1040.846;618.3643;;524.3015;267.592;;0.0;MOD14281
2018-09-15 11:53:17.733000-05:00;;;;;;;;4207.719;1040.911;618.3902;;524.3339;267.6349;;0.0;MOD14281
2018-09-15 11:53:18.515000-05:00;;;;;;;;4207.936;1041.044;618.4434;;524.4006;267.7228;;0.0;MOD14281
2018-09-15 11:53:18.827000-05:00;;;;;;;;4208.041;1041.11;618.4692;;524.4331;267.7657;;0.0;MOD14281
2018-09-15 11:53:19.312000-05:00;;;;;;;;4208.146;1041.175;618.4951;;524.4656;267.8087;;0.0;MOD14281
2018-09-15 11:53:20.015000-05:00;;;;;;;;4208.359;1041.309;618.5475;;524.5314;267.8956;;0.0;MOD14281
