date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-09-15 14:52:51.270000-05:00;;;;;;;;4693.786;1282.717;750.6035;;570.7598;287.7376;;0.0;MOD14284
2018-09-15 14:52:51.754000-05:00;;;;;;;;4693.899;1282.785;750.6307;;570.7939;287.7827;;0.0;MOD14284
2018-09-15 14:52:52.082000-05:00;;;;;;;;4694.009;1282.851;750.6572;;570.7939;287.8267;;0.0;MOD14284
2018-09-15 14:52:52.489000-05:00;;;;;;;;4694.118;1282.918;750.6837;;570.8606;287.8707;;0.0;MOD14284
2018-09-15 14:52:52.879000-05:00;;;;;;;;4694.118;1282.983;750.7095;;570.8931;287.9136;;0.0;MOD14284
2018-09-15 14:52:53.348000-05:00;;;;;;;;4694.333;1282.983;750.7095;;570.9256;287.9136;;0.0;MOD14284
2018-09-15 14:52:53.645000-05:00;;;;;;;;4694.44;1283.112;750.7095;;570.9256;287.9136;;0.0;MOD14284
2018-09-15 14:52:53.739000-05:00;;;;;;;;4694.44;1283.112;750.7612;;570.9581;287.9995;;0.0;MOD14284
2018-09-15 14:52:54.051000-05:00;;;;;;;;4694.551;1283.179;750.7877;;570.9581;288.0434;;0.0;MOD14284
2018-09-15 14:52:54.520000-05:00;;;;;;;;4694.659;1283.244;750.8135;;571.0239;288.0863;;0.0;MOD14284
2018-09-15 14:52:54.848000-05:00;;;;;;;;4694.659;1283.244;750.8135;;571.0573;288.0863;;0.0;MOD14284
2018-09-15 14:52:55.223000-05:00;;;;;;;;4694.877;1283.376;750.866;;571.0898;288.1732;;0.0;MOD14284
2018-09-15 14:52:55.614000-05:00;;;;;;;;4694.985;1283.44;750.8918;;571.0898;288.2161;;0.0;MOD14284
2018-09-15 14:52:56.020000-05:00;;;;;;;;4695.093;1283.505;750.9178;;571.1548;288.259;;0.0;MOD14284
2018-09-15 14:52:56.489000-05:00;;;;;;;;4695.201;1283.57;750.9437;;571.1873;288.3019;;0.0;MOD14284
2018-09-15 14:52:56.801000-05:00;;;;;;;;4695.201;1283.57;750.9437;;571.2198;288.3019;;0.0;MOD14284
2018-09-15 14:52:57.192000-05:00;;;;;;;;4695.418;1283.699;750.9956;;571.2523;288.3877;;0.0;MOD14284
2018-09-15 14:52:57.661000-05:00;;;;;;;;4695.529;1283.765;751.0222;;571.2523;288.4317;;0.0;MOD14284
2018-09-15 14:52:57.957000-05:00;;;;;;;;4695.635;1283.827;751.0475;;571.3173;288.4735;;0.0;MOD14284
2018-09-15 14:52:58.348000-05:00;;;;;;;;4695.635;1283.827;751.0475;;571.3498;288.4735;;0.0;MOD14284
2018-09-15 14:52:58.832000-05:00;;;;;;;;4695.858;1283.958;751.1008;;571.384;288.5615;;0.0;MOD14284
2018-09-15 14:52:59.161000-05:00;;;;;;;;4695.966;1284.022;751.127;;571.4164;288.6044;;0.0;MOD14284
2018-09-15 14:52:59.629000-05:00;;;;;;;;4696.078;1284.087;751.1536;;571.4164;288.6484;;0.0;MOD14284
2018-09-15 14:52:59.957000-05:00;;;;;;;;4696.19;1284.154;751.181;;571.4839;288.6935;;0.0;MOD14284
2018-09-15 14:53:00.426000-05:00;;;;;;;;4696.19;1284.154;751.181;;571.5165;288.6935;;0.0;MOD14284
2018-09-15 14:53:00.754000-05:00;;;;;;;;4696.408;1284.282;751.2332;;571.549;288.7793;;0.0;MOD14284
2018-09-15 14:53:01.223000-05:00;;;;;;;;4696.52;1284.348;751.2599;;571.549;288.8233;;0.0;MOD14284
2018-09-15 14:53:01.551000-05:00;;;;;;;;4696.634;1284.416;751.2873;;571.6165;288.8684;;0.0;MOD14284
2018-09-15 14:53:02.020000-05:00;;;;;;;;4696.745;1284.482;751.3141;;571.6498;288.9124;;0.0;MOD14284
2018-09-15 14:53:02.348000-05:00;;;;;;;;4696.745;1284.482;751.3141;;571.6823;288.9124;;0.0;MOD14284
2018-09-15 14:53:02.817000-05:00;;;;;;;;4696.958;1284.611;751.3661;;571.7148;288.9982;;0.0;MOD14284
2018-09-15 14:53:03.129000-05:00;;;;;;;;4697.066;1284.678;751.3929;;571.7148;289.0422;;0.0;MOD14284
2018-09-15 14:53:03.520000-05:00;;;;;;;;4697.172;1284.743;751.419;;571.7806;289.0851;;0.0;MOD14284
2018-09-15 14:53:03.895000-05:00;;;;;;;;4697.172;1284.743;751.419;;571.8123;289.0851;;0.0;MOD14284
2018-09-15 14:53:04.286000-05:00;;;;;;;;4697.38;1284.871;751.4705;;571.8448;289.1698;;0.0;MOD14284
2018-09-15 14:53:04.676000-05:00;;;;;;;;4697.485;1284.936;751.4966;;571.8448;289.2127;;0.0;MOD14284
2018-09-15 14:53:05.067000-05:00;;;;;;;;4697.591;1285.0;751.5228;;571.9098;289.2556;;0.0;MOD14284
2018-09-15 14:53:05.551000-05:00;;;;;;;;4697.696;1285.066;751.549;;571.9423;289.2985;;0.0;MOD14284
2018-09-15 14:53:05.864000-05:00;;;;;;;;4697.696;1285.066;751.549;;571.9756;289.2985;;0.0;MOD14284
2018-09-15 14:53:06.239000-05:00;;;;;;;;4697.907;1285.196;751.6014;;572.0073;289.3843;;0.0;MOD14284
2018-09-15 14:53:06.707000-05:00;;;;;;;;4698.012;1285.261;751.6276;;572.0073;289.4272;;0.0;MOD14284
2018-09-15 14:53:07.036000-05:00;;;;;;;;4698.12;1285.329;751.6545;;572.0731;289.4713;;0.0;MOD14284
2018-09-15 14:53:07.442000-05:00;;;;;;;;4698.12;1285.329;751.6822;;572.1073;289.5163;;0.0;MOD14284
2018-09-15 14:53:07.911000-05:00;;;;;;;;4698.337;1285.466;751.6822;;572.1406;289.5163;;0.0;MOD14284
2018-09-15 14:53:08.239000-05:00;;;;;;;;4698.441;1285.532;751.7355;;572.1731;289.6032;;0.0;MOD14284
2018-09-15 14:53:08.629000-05:00;;;;;;;;4698.55;1285.6;751.7625;;572.1731;289.6472;;0.0;MOD14284
2018-09-15 14:53:09.098000-05:00;;;;;;;;4698.655;1285.666;751.7888;;572.239;289.6901;;0.0;MOD14284
2018-09-15 14:53:09.426000-05:00;;;;;;;;4698.655;1285.666;751.7888;;572.2723;289.6901;;0.0;MOD14284
2018-09-15 14:53:09.801000-05:00;;;;;;;;4698.866;1285.798;751.8414;;572.304;289.7759;;0.0;MOD14284
2018-09-15 14:53:10.207000-05:00;;;;;;;;4698.978;1285.868;751.8691;;572.3381;289.821;;0.0;MOD14284
2018-09-15 14:53:10.692000-05:00;;;;;;;;4699.084;1285.934;751.8954;;572.3381;289.864;;0.0;MOD14284
2018-09-15 14:53:11.004000-05:00;;;;;;;;4699.192;1286.002;751.9224;;572.4039;289.9079;;0.0;MOD14284
2018-09-15 14:53:11.395000-05:00;;;;;;;;4699.192;1286.002;751.9224;;572.4365;289.9079;;0.0;MOD14284
2018-09-15 14:53:11.864000-05:00;;;;;;;;4699.406;1286.135;751.9757;;572.4698;289.9948;;0.0;MOD14284
2018-09-15 14:53:12.192000-05:00;;;;;;;;4699.515;1286.202;752.0027;;572.4698;290.0388;;0.0;MOD14284
2018-09-15 14:53:12.598000-05:00;;;;;;;;4699.624;1286.27;752.0298;;572.5364;290.0828;;0.0;MOD14284
2018-09-15 14:53:13.083000-05:00;;;;;;;;4699.734;1286.338;752.0574;;572.5706;290.1279;;0.0;MOD14284
2018-09-15 14:53:13.411000-05:00;;;;;;;;4699.734;1286.338;752.0574;;572.6039;290.1279;;0.0;MOD14284
2018-09-15 14:53:13.879000-05:00;;;;;;;;4699.952;1286.473;752.1115;;572.6373;290.2159;;0.0;MOD14284
2018-09-15 14:53:14.208000-05:00;;;;;;;;4700.062;1286.54;752.1384;;572.6373;290.2599;;0.0;MOD14284
2018-09-15 14:53:14.676000-05:00;;;;;;;;4700.168;1286.605;752.1647;;572.7031;290.3028;;0.0;MOD14284
2018-09-15 14:53:14.989000-05:00;;;;;;;;4700.168;1286.605;752.1647;;572.7356;290.3028;;0.0;MOD14284
2018-09-15 14:53:15.379000-05:00;;;;;;;;4700.384;1286.737;752.2178;;572.7689;290.3897;;0.0;MOD14284
2018-09-15 14:53:15.786000-05:00;;;;;;;;4700.496;1286.806;752.2454;;572.8031;290.4348;;0.0;MOD14284
2018-09-15 14:53:16.270000-05:00;;;;;;;;4700.605;1286.872;752.2723;;572.8031;290.4788;;0.0;MOD14284
2018-09-15 14:53:16.598000-05:00;;;;;;;;4700.714;1286.939;752.2993;;572.8698;290.5228;;0.0;MOD14284
2018-09-15 14:53:17.067000-05:00;;;;;;;;4700.714;1286.939;752.2993;;572.9023;290.5228;;0.0;MOD14284
2018-09-15 14:53:17.379000-05:00;;;;;;;;4700.931;1287.069;752.3525;;572.9356;290.6097;;0.0;MOD14284
2018-09-15 14:53:17.864000-05:00;;;;;;;;4701.04;1287.135;752.3793;;572.9689;290.6537;;0.0;MOD14284
2018-09-15 14:53:18.176000-05:00;;;;;;;;4701.144;1287.197;752.4048;;572.9689;290.6955;;0.0;MOD14284
2018-09-15 14:53:18.551000-05:00;;;;;;;;4701.25;1287.261;752.431;;573.0331;290.7384;;0.0;MOD14284
2018-09-15 14:53:19.020000-05:00;;;;;;;;4701.25;1287.261;752.431;;573.0665;290.7384;;0.0;MOD14284
2018-09-15 14:53:19.333000-05:00;;;;;;;;4701.464;1287.391;752.4838;;573.0989;290.8253;;0.0;MOD14284
