date;TEMP_REAL;PESO_CHAT;HRD_ACUM;PESO_CAL_SIDER;PESO_CAL_DOLO;POT_ACT_MWH;PPM_O2;O2_PPAL_TOT_M;O2_ENV_TOT_M;GAS_TOT_M;CARBON_TOT_M;O2_ENV_TOT_L;GAS_TOT_L;CAL_TOT_L;FLUJO_HRD;NAME_COLADA
2018-10-06 20:55:41.165000-05:00;;;;;;;;4308.569;1047.291;;;540.2711;283.8398;;0.0;MOD14688
2018-10-06 20:55:41.572000-05:00;;;;;;;;4308.569;1047.291;610.9786;;540.2711;283.8838;;0.0;MOD14688
2018-10-06 20:55:42.040000-05:00;;;;;;;;4308.788;1047.428;611.0045;;540.337;283.9266;;0.0;MOD14688
2018-10-06 20:55:42.353000-05:00;;;;;;;;4308.895;1047.496;611.0045;;540.3695;283.9266;;0.0;MOD14688
2018-10-06 20:55:42.743000-05:00;;;;;;;;4308.895;1047.496;611.057;;540.3695;284.0135;;0.0;MOD14688
2018-10-06 20:55:43.150000-05:00;;;;;;;;4309.117;1047.636;611.0836;;540.4362;284.0576;;0.0;MOD14688
2018-10-06 20:55:43.556000-05:00;;;;;;;;4309.23;1047.707;611.1108;;540.4703;284.0576;;0.0;MOD14688
2018-10-06 20:55:43.962000-05:00;;;;;;;;4309.341;1047.777;611.1108;;540.5037;284.1467;;0.0;MOD14688
2018-10-06 20:55:44.337000-05:00;;;;;;;;4309.341;1047.777;611.1627;;540.5037;284.1884;;0.0;MOD14688
2018-10-06 20:55:44.743000-05:00;;;;;;;;4309.557;1047.913;611.1892;;540.5687;284.2325;;0.0;MOD14688
2018-10-06 20:55:45.134000-05:00;;;;;;;;4309.665;1047.981;611.2151;;540.6012;284.2325;;0.0;MOD14688
2018-10-06 20:55:45.603000-05:00;;;;;;;;4309.773;1048.05;611.2151;;540.6337;284.3182;;0.0;MOD14688
2018-10-06 20:55:45.915000-05:00;;;;;;;;4309.773;1048.05;611.2668;;540.6337;284.3611;;0.0;MOD14688
2018-10-06 20:55:46.306000-05:00;;;;;;;;4309.993;1048.187;611.2934;;540.6995;284.3611;;0.0;MOD14688
2018-10-06 20:55:46.681000-05:00;;;;;;;;4310.096;1048.252;611.2934;;540.7303;284.4459;;0.0;MOD14688
2018-10-06 20:55:47.087000-05:00;;;;;;;;4310.096;1048.252;611.3451;;540.7303;284.491;;0.0;MOD14688
2018-10-06 20:55:47.478000-05:00;;;;;;;;4310.318;1048.39;611.371;;540.797;284.5338;;0.0;MOD14688
2018-10-06 20:55:47.884000-05:00;;;;;;;;4310.43;1048.459;611.3975;;540.8303;284.5338;;0.0;MOD14688
2018-10-06 20:55:48.275000-05:00;;;;;;;;4310.539;1048.526;611.3975;;540.8628;284.6208;;0.0;MOD14688
2018-10-06 20:55:48.665000-05:00;;;;;;;;4310.539;1048.526;611.4493;;540.8628;284.6636;;0.0;MOD14688
2018-10-06 20:55:49.056000-05:00;;;;;;;;4310.757;1048.657;611.4752;;540.9279;284.6636;;0.0;MOD14688
2018-10-06 20:55:49.447000-05:00;;;;;;;;4310.868;1048.724;611.4752;;540.9612;284.7505;;0.0;MOD14688
2018-10-06 20:55:49.853000-05:00;;;;;;;;4310.868;1048.724;611.5282;;540.9612;284.7946;;0.0;MOD14688
